Id,IsDeleted,CaseNumber,ContactId,AccountId,AssetId,SourceId,ParentId,SuppliedName,SuppliedEmail,SuppliedPhone,SuppliedCompany,Type,Status,Reason,Origin,Subject,Priority,Description,IsClosed,ClosedDate,IsEscalated,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,ContactPhone,ContactMobile,ContactEmail,ContactFax,LastViewedDate,LastReferencedDate,jzjan2025__EngineeringReqNumber__c,jzjan2025__SLAViolation__c,jzjan2025__Product__c,jzjan2025__PotentialLiability__c,jzjan2025__Quick_Summary__c
500F900001hiWbIIAU,,00001002,003F900001oSqrWIAS,001F900001pMcLRIA0,,,,,,,,Electrical,New,Installation,Web,Seeking guidance on electrical wiring installation for GC5060,Low,,,,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(212) 842-5500,(212) 842-5501,spavlova@uog.com,(212) 842-5501,,,,No,GC3060,No,
500F900001hiWbJIAU,,00001001,003F900001oSqrgIAC,001F900001pMcLRIA0,,,,,,,,Electrical,Closed,Performance,Phone,Performance inadequate for second consecutive week,High,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(212) 842-5500,(212) 842-2383,agreen@uog.com,(212) 842-5501,,,767145,Yes,GC1060,Yes,
500F900001hiWbKIAU,,00001000,003F900001oSqrPIAS,001F900001pMcLMIA0,,,,,,,,Electrical,Closed,Equipment Complexity,Phone,Starting generator after electrical failure,High,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(512) 757-6000,(512) 757-9340,rose@edge.com,(512) 757-9000,,,765876,No,GC5040,No,
500F900001hiWbLIAU,,00001003,003F900001oSqrYIAS,001F900001pMcLSIA0,,,,,,,,Other,Closed,Installation,Web,Easy installation process,Low,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(503) 421-7800,(503) 421-5451,b.levy@expressl&t.net,(503) 421-7801,,,,No,GC1020,No,
500F900001hiWbMIAU,,00001004,003F900001oSqrYIAS,001F900001pMcLSIA0,,,,,,,,Other,Closed,Other,Phone,Maintenance guidelines for generator unclear,Medium,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(503) 421-7800,(503) 421-5451,b.levy@expressl&t.net,(503) 421-7801,,,784532,No,GC5020,No,
500F900001hiWbNIAU,,00001005,003F900001oSqrZIAS,001F900001pMcLSIA0,,,,,,,,Electrical,Closed,Performance,Phone,Electrical circuit malfunctioning,Medium,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(503) 421-7800,(503) 421-4387,j.davis@expressl&t.net,(503) 421-7801,,,653780,No,GC1060,Yes,
500F900001hiWbOIAU,,00001006,003F900001oSqrfIAC,001F900001pMcLWIA0,,,,,,,,Other,Closed,Feedback,Phone,Generator assembly instructions unclear,Low,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(650) 867-3450,(650) 867-7686,efrank@genepoint.com,(650) 867-9895,,,253574,No,GC1020,No,
500F900001hiWbRIAU,,00001009,003F900001oSqrcIAC,001F900001pMcLUIA0,,,,,,,,Mechanical,Closed,Other,Phone,Mechanical maintenance guidelines for generator misleading,Medium,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,+44 191 4956203,+44 191 3456234,ajames@uog.com,+44 191 4956620,,,365782,No,GC3040,Yes,
500F900001hiWbSIAU,,00001010,003F900001oSqrdIAC,001F900001pMcLVIA0,,,,,,,,Other,Closed,Feedback,Web,Maintenance guidelines for generator unclear,Low,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(650) 450-8810,(650) 345-7636,tripley@uog.com,(650) 450-8820,,,658733,No,GC1060,No,
500F900001hiWbPIAU,,00001007,003F900001oSqrUIAS,001F900001pMcLQIA0,,,,,,,,Structural,Closed,Breakdown,Phone,Structural breakdown of rotor assembly,Medium,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(312) 596-1000,(312) 596-1230,barr_tim@grandhotels.com,(312) 596-1500,,,835735,No,GC1040,No,
