Id,IsDeleted,MasterRecordId,LastName,FirstName,Salutation,Name,Title,Company,Street,City,State,PostalCode,Country,Latitude,Longitude,GeocodeAccuracy,Address,Phone,MobilePhone,Fax,Email,Website,PhotoUrl,Description,LeadSource,Status,Industry,Rating,AnnualRevenue,NumberOfEmployees,OwnerId,IsConverted,ConvertedDate,ConvertedAccountId,ConvertedContactId,ConvertedOpportunityId,IsUnreadByOwner,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawContactId,CompanyDunsNumber,DandbCompanyId,EmailBouncedReason,EmailBouncedDate,IndividualId,LeadType__c
00QNq00000BXU9AMAX,,,Szyslak,Joe,Mr.,Joe Szyslak,Owner,Moe's Bar,,,,,,,,,,555-214-7314,,,j.szyslak@itsjustademo.com,,/services/images/photo/00QNq00000BXU9AMAX,Joes Bar is interested in our Radiant Thermal Systems to reduce his gas heating bill. Do they come in a Patio heater format too?,Trade Show,New,Food & Beverage,,,1,005Nq00000AU6ztIAD,,,,,,1,2024-07-11T21:22:06.000+0000,005Nq00000AU6ztIAD,2024-07-11T21:22:06.000+0000,005Nq00000AU6ztIAD,2024-07-11T21:22:06.000+0000,,2024-07-11T21:22:06.000+0000,2024-07-11T21:22:06.000+0000,,,,,,,,Business
00QNq00000BXU9BMAX,,,Sampson,Brat,Mr.,Brat Sampson,,None,,,,,,,,,,,,,brats@itsallgoodfununtil.com,,/services/images/photo/00QNq00000BXU9BMAX,Hey man I hear you have some cool glow in the dark dog leashes like how much do they go for?,,New,,,,,005Nq00000AU6ztIAD,,,,,,1,2024-07-11T21:22:06.000+0000,005Nq00000AU6ztIAD,2024-07-11T21:22:06.000+0000,005Nq00000AU6ztIAD,2024-07-11T21:22:06.000+0000,,2024-07-11T21:22:06.000+0000,2024-07-11T21:22:06.000+0000,,,,,,,,Consumer Retail
00QNq00000BXU9CMAX,,,Someone,Abby,Mr.,Abby Someone,Mr,Abby Normal Emporium,,,,,,,,,,555-372-6536,,,,,/services/images/photo/00QNq00000BXU9CMAX,Do you carry a high voltage neck bolt jump start power pack,,New,Healthcare,,,3,005Nq00000AU6ztIAD,,,,,,1,2024-07-11T21:22:06.000+0000,005Nq00000AU6ztIAD,2024-07-11T21:22:06.000+0000,005Nq00000AU6ztIAD,2024-07-11T21:22:06.000+0000,,2024-07-11T21:22:06.000+0000,2024-07-11T21:22:06.000+0000,,,,,,,,Business
00QNq00000BXU9DMAX,,,Sampson,Homer,Mr.,Homer Sampson,,None,,,,,,,,,,,,,homer@sampsonfictionalfamilyfun.com,,/services/images/photo/00QNq00000BXU9DMAX,Want to know if our atomic toasters can toast donuts,Website,Unqualified,,,,,005Nq00000AU6ztIAD,,,,,,1,2024-07-11T21:22:06.000+0000,005Nq00000AU6ztIAD,2024-07-11T21:22:06.000+0000,005Nq00000AU6ztIAD,2024-07-11T21:22:06.000+0000,,2024-07-11T21:22:06.000+0000,2024-07-11T21:22:06.000+0000,,,,,,,,Consumer Retail
00QNq00000BXU9EMAX,,,Gumball,,Mr.,Gumball,Owner,Family Bowling,,,,,,,,,,,,,,,/services/images/photo/00QNq00000BXU9EMAX,"Looking to by Multiple Glow Sign ad Panels
We can potentially talk him in to one of out Atomic clock in machines too",Website,Nurturing,Entertainment,,,14,005Nq00000AU6ztIAD,,,,,,1,2024-07-11T21:22:06.000+0000,005Nq00000AU6ztIAD,2024-07-11T21:22:06.000+0000,005Nq00000AU6ztIAD,2024-07-11T21:22:06.000+0000,,2024-07-11T21:22:06.000+0000,2024-07-11T21:22:06.000+0000,,,,,,,,Business
00QNq00000BXU9FMAX,,,Sampson,Liza,,Liza Sampson,,None,,,,,,,,,,555-321-8967,,,,,/services/images/photo/00QNq00000BXU9FMAX,Liza really wants to purchase  one of our Reactor Relief™️ Stress Ball as well a Atomic Alarm Clocks. she is super stressed about being late for school,Advertisement,Working,,,,,005Nq00000AU6ztIAD,,,,,,1,2024-07-11T21:22:06.000+0000,005Nq00000AU6ztIAD,2024-07-11T21:22:06.000+0000,005Nq00000AU6ztIAD,2024-07-11T21:22:06.000+0000,,2024-07-11T21:22:06.000+0000,2024-07-11T21:22:06.000+0000,,,,,,,,Consumer Retail
00QNq00000BXU9GMAX,,,Sampson,Margery,Ms.,Margery Sampson,,None,,,,,,,,,,555-321-8967,,,,,/services/images/photo/00QNq00000BXU9GMAX,please send information on your Radiant Skincare Cream product line,,New,,,,,005Nq00000AU6ztIAD,,,,,,1,2024-07-11T21:22:06.000+0000,005Nq00000AU6ztIAD,2024-07-11T21:22:06.000+0000,005Nq00000AU6ztIAD,2024-07-11T21:22:06.000+0000,,2024-07-11T21:22:06.000+0000,2024-07-11T21:22:06.000+0000,,,,,,,,Consumer Retail
00QNq00000BXXEzMAP,,,Szyslak,Joe,Mr.,Joe Szyslak,Owner,Moe's Bar,,,,,,,,,,555-214-7314,,,j.szyslak@itsjustademo.com,,/services/images/photo/00QNq00000BXXEzMAP,Joes Bar is interested in our Radiant Thermal Systems to reduce his gas heating bill. Do they come in a Patio heater format too?,Trade Show,New,Food & Beverage,,,1,005Nq00000AU6ztIAD,,,,,,1,2024-07-11T22:14:39.000+0000,005Nq00000AU6ztIAD,2024-07-11T22:14:39.000+0000,005Nq00000AU6ztIAD,2024-07-11T22:14:39.000+0000,,2024-07-11T22:14:39.000+0000,2024-07-11T22:14:39.000+0000,,,,,,,,Business
00QNq00000BXXF0MAP,,,Sampson,Brat,Mr.,Brat Sampson,,None,,,,,,,,,,,,,brats@itsallgoodfununtil.com,,/services/images/photo/00QNq00000BXXF0MAP,Hey man I hear you have some cool glow in the dark dog leashes like how much do they go for?,,New,,,,,005Nq00000AU6ztIAD,,,,,,1,2024-07-11T22:14:39.000+0000,005Nq00000AU6ztIAD,2024-07-11T22:14:39.000+0000,005Nq00000AU6ztIAD,2024-07-11T22:14:39.000+0000,,2024-07-11T22:14:39.000+0000,2024-07-11T22:14:39.000+0000,,,,,,,,Consumer Retail
00QNq00000BXXF1MAP,,,Someone,Abby,Mr.,Abby Someone,Mr,Abby Normal Emporium,,,,,,,,,,555-372-6536,,,,,/services/images/photo/00QNq00000BXXF1MAP,Do you carry a high voltage neck bolt jump start power pack,,New,Healthcare,,,3,005Nq00000AU6ztIAD,,,,,,1,2024-07-11T22:14:39.000+0000,005Nq00000AU6ztIAD,2024-07-11T22:14:39.000+0000,005Nq00000AU6ztIAD,2024-07-11T22:14:39.000+0000,,2024-07-11T22:14:39.000+0000,2024-07-11T22:14:39.000+0000,,,,,,,,Business
